,trial,start_time,end_time,key,freq_category,condition,reaction_time
0,snarpen,3.5009363999124616,4.465460799867287,y,none,nw,0.9645243999548256
1,bluurde,5.499687199946493,5.826230099890381,y,none,nw,0.3265428999438882
2,lekker,6.864885599818081,7.17418530001305,n,HF,rw,0.3092997001949698
3,margriet,8.214639999903738,8.574313999852166,y,LF,rw,0.3596739999484271
4,gefruld,9.613407599972561,10.107363000046462,y,none,nw,0.4939554000739008
5,kormel,11.145472799893469,12.114566299831495,y,none,nw,0.9690934999380261
6,udel,13.14494979986921,13.401218599872664,n,none,nw,0.2562688000034541
7,bij,14.4277186000254,14.60765659995377,y,HF,rw,0.17993799992837012
8,zolders,15.644142699893564,15.933681400027126,y,LF,rw,0.2895387001335621
9,moksen,16.959984899964184,17.325310999993235,y,none,nw,0.3653261000290513
10,uur,18.35800400003791,18.80703269992955,y,HF,rw,0.44902869989164174
11,prookt,19.841530199861154,20.040719100041315,y,none,nw,0.199188900180161
12,knaarde,21.074560299981385,21.64875419996679,y,none,nw,0.5741938999854028
13,snoen,22.673263099975884,27.67335269995965,,none,nw,5.000089599983767
14,reigers,28.703100599814206,33.70317590003833,,LF,rw,5.000075300224125
15,porde,34.73220660001971,39.73230000003241,,LF,rw,5.000093400012702
16,juffen,40.76239029993303,41.395805899985135,y,LF,rw,0.6334156000521034
17,grantel,42.42861649999395,45.01043529994786,y,none,nw,2.5818187999539077
18,hield,46.043989799916744,46.76255659991875,y,HF,rw,0.7185668000020087
19,kimensie,47.791986000025645,48.28837209986523,y,none,nw,0.49638609983958304
