,trial,start_time,end_time,key,freq_category,condition,reaction_time
0,hele,3.8452159001026303,4.7075585999991745,y,HF,rw,0.8623426998965442
1,auto,5.744596800068393,6.341775400098413,y,HF,rw,0.5971786000300199
2,zeg,7.37681829999201,8.101717200130224,y,HF,rw,0.7248989001382142
3,strotten,9.125343800056726,9.840273699956015,n,LF,rw,0.714929899899289
4,woei,10.873923900071532,11.549331499962136,n,LF,rw,0.6754075998906046
5,vroel,12.57352690002881,12.999247099971399,y,none,nw,0.4257201999425888
6,knaarde,14.02023550006561,14.346176200080663,n,none,nw,0.32594070001505315
7,rastel,15.371055399999022,15.71705780015327,y,none,nw,0.3460024001542479
8,zag,16.753792700124905,17.13031870010309,n,HF,rw,0.3765259999781847
9,stram,18.17032829998061,18.56714820000343,y,LF,rw,0.39681990002281964
10,ponten,19.60349730006419,20.158618499990553,y,LF,rw,0.5551211999263614
11,trorg,21.185525400098413,21.857386300107464,y,none,nw,0.671860900009051
12,pirrel,22.883979100035504,23.2283048001118,n,none,nw,0.3443257000762969
13,moksen,24.267270700074732,24.55335050006397,y,none,nw,0.2860797999892384
14,lanen,25.582485200138763,25.977419700007886,n,LF,rw,0.3949344998691231
15,idee,27.014710400020704,27.284100000048056,y,HF,rw,0.26938960002735257
16,smaan,28.31454830011353,28.602623500162736,n,none,nw,0.2880752000492066
17,heren,29.630416700150818,29.931435100035742,y,HF,rw,0.3010183998849243
18,dood,30.963490300113335,31.115402300143614,n,HF,rw,0.15191200003027916
19,schoffels,32.14585560001433,32.496116399997845,y,LF,rw,0.35026079998351634
